sim,nn,igers,gcm,igers_sd,gcm_sd
0.00,56.41,49.05,61.69,30.82,78.01
0.02,54.24,47.61,58.80,30.05,68.90
0.04,53.57,47.97,60.78,28.58,70.21
0.06,55.21,47.75,61.49,31.27,69.28
0.08,54.87,47.76,60.70,26.61,72.44
0.10,54.35,48.89,60.65,31.79,71.29
0.12,53.17,46.71,60.60,26.99,71.32
0.14,54.23,49.78,59.68,24.33,71.76
0.16,52.44,47.68,57.78,27.76,70.97
0.18,45.71,36.59,49.27,25.37,63.78
0.20,41.18,34.58,46.63,27.62,64.67
0.22,44.86,33.72,48.60,21.97,59.16
0.24,42.54,30.99,46.88,21.37,58.02
0.26,40.58,29.60,44.53,19.12,57.62
0.28,39.84,28.65,45.19,17.28,60.49
0.30,42.45,29.34,46.78,20.99,58.85
0.32,41.77,27.09,45.76,17.69,59.92
0.34,42.45,28.35,45.51,20.14,59.54
0.36,42.31,29.63,46.35,19.18,56.75
0.38,44.03,31.86,47.00,19.01,65.82
0.40,41.89,28.60,46.81,16.48,59.97
0.42,42.98,29.07,46.72,19.01,61.32
0.44,44.15,27.88,48.58,18.14,64.63
0.46,41.82,25.98,46.31,15.73,61.95
0.48,42.47,30.63,46.52,12.88,61.82
0.50,43.61,24.31,46.03,12.78,61.31
0.52,42.51,23.75,47.24,12.38,60.99
0.54,36.64,20.24,44.32,7.91,60.43
0.56,12.75,10.90,42.31,7.42,61.02
0.58,11.25,9.58,12.02,6.91,13.83
0.60,9.22,8.46,10.04,4.78,12.73
0.62,8.98,7.89,9.88,5.43,11.51
0.64,7.31,6.51,7.72,4.95,8.65
0.66,7.37,6.84,7.77,5.08,9.63
0.68,6.56,5.84,7.37,3.36,8.48
0.70,6.58,5.83,7.14,4.01,8.29
0.72,5.22,4.71,5.67,2.80,6.94
0.74,5.00,4.38,5.51,2.01,6.18
0.76,4.19,3.39,4.70,2.29,5.64
0.78,4.07,3.62,4.91,1.52,5.56
0.80,4.43,3.78,4.90,2.19,5.59
0.82,3.62,2.80,4.10,0.63,5.26
0.84,3.28,1.57,3.48,0.45,3.83
0.86,3.32,1.64,3.69,0.57,4.06
0.88,3.62,1.92,3.81,0.61,4.44
0.90,1.32,1.20,1.59,0.28,1.95
0.92,1.39,1.24,1.62,0.27,1.95
0.94,1.44,1.24,1.72,0.35,2.08
0.96,1.51,1.29,1.86,0.11,2.28
0.98,1.48,1.28,1.83,0.14,2.36
